"447527","Opstart ny kunde",,"reopened","2015-02-25 10:05:38","80866","157144","Opstartsmøde",,"2015-02-25 10:05:38",NULL,NULL,"2015-06-12 07:09:42","80866","83600"
"447527","Opstart ny kunde",,"reopened","2015-02-25 10:05:38","80866","157144","Sidetitler og beskrivelser",,"2015-02-25 10:05:38","2015-06-12","2015-06-26","2015-07-02 06:40:05","80866","80866"
"447527","Opstart ny kunde",,"reopened","2015-02-25 10:05:38","80866","157144","Analytics",,"2015-02-25 10:05:38",NULL,NULL,"2015-05-07 14:15:59","80866","80866"
"447527","Opstart ny kunde",,"reopened","2015-02-25 10:05:38","80866","157144","Tjek G+",,"2015-03-09 16:47:48","2015-03-09",NULL,"2015-06-16 11:29:01","83600","133451"
"447527","Opstart ny kunde",,"reopened","2015-02-25 10:05:38","80866","157144","Hastighedsoptimering / tilpasning af Wordpress",,"2015-06-12 07:10:16","2015-06-12","2015-06-26","2015-07-02 09:17:13","83600","83600"
"447527","Opstart ny kunde",,"reopened","2015-02-25 10:05:38","80866","157144","Citations",,"2016-03-15 14:55:49","2016-03-15","2016-03-29",NULL,"83600",NULL
"447564","Opstart ny kunde (SKAL EVT. HAVE LOKAL!)",,"reopened","2015-02-25 10:17:34","80866","157147","Søgeord",,"2015-02-25 10:17:34",NULL,NULL,"2015-03-06 12:34:19","80866","80866"
"447564","Opstart ny kunde (SKAL EVT. HAVE LOKAL!)",,"reopened","2015-02-25 10:17:34","80866","157147","Webanalyse",,"2015-02-25 10:17:34",NULL,NULL,NULL,"80866",NULL
"447564","Opstart ny kunde (SKAL EVT. HAVE LOKAL!)",,"reopened","2015-02-25 10:17:34","80866","157147","Opstartsmøde",,"2015-02-25 10:17:34",NULL,NULL,NULL,"80866",NULL
"447564","Opstart ny kunde (SKAL EVT. HAVE LOKAL!)",,"reopened","2015-02-25 10:17:34","80866","157147","Sidetitler og beskrivelser",,"2015-02-25 10:17:34",NULL,NULL,NULL,"80866",NULL
"447564","Opstart ny kunde (SKAL EVT. HAVE LOKAL!)",,"reopened","2015-02-25 10:17:34","80866","157147","Analytics",,"2015-02-25 10:17:34",NULL,NULL,"2015-03-06 12:54:44","80866","80866"
"447982","Sidetitler og beskrivelser",,"reopened","2015-02-25 15:57:15","83600","98058","Gennemtjek af sidetitler (gentegning)",,"2015-02-25 15:57:46",NULL,NULL,NULL,"83600",NULL
"447982","Sidetitler og beskrivelser",,"reopened","2015-02-25 15:57:15","83600","98058","Vol. fra Keyword Planner til Rankranger",,"2015-11-24 14:55:19",NULL,NULL,"2015-11-24 14:55:27","133451","133451"
"449091","Tjek G+",,"reopened","2015-02-26 08:47:52","80866","136196","Tjek G+",,"2015-02-26 08:47:52","2015-02-26",NULL,NULL,"80866",NULL
"449091","Tjek G+",,"reopened","2015-02-26 08:47:52","80866","136196","Vol. fra Keyword Planner til Rankranger",,"2015-11-24 15:06:47",NULL,NULL,"2015-11-24 15:12:00","133451","133451"
"449093","Tjek G+",,"reopened","2015-02-26 08:55:00","80866","122957","Tjek G+",,"2015-02-26 08:55:00","2015-02-26",NULL,NULL,"80866",NULL
"449093","Tjek G+",,"reopened","2015-02-26 08:55:00","80866","122957","Vol. fra Keyword Planner til Rankranger",,"2015-11-24 14:55:52",NULL,NULL,"2015-11-24 14:56:21","133451","133451"
"449098","Tjek G+",,"reopened","2015-02-26 09:03:08","80866","98037","Tjek G+",,"2015-02-26 09:03:08","2015-02-26",NULL,NULL,"80866",NULL
"449100","Tjek G+",,"reopened","2015-02-26 09:04:06","80866","98102","Tjek G+",,"2015-02-26 09:04:06","2015-02-26",NULL,NULL,"80866",NULL
"449102","Tjek G+",,"reopened","2015-02-26 09:05:12","80866","157147","Tjek G+",,"2015-02-26 09:05:12","2015-02-26",NULL,NULL,"80866",NULL
"449103","Tjek G+",,"reopened","2015-02-26 09:05:32","80866","148336","Tjek G+",,"2015-02-26 09:05:32","2015-02-26",NULL,"2015-03-17 15:34:11","80866","133451"
"449105","Tjek G+",,"reopened","2015-02-26 09:05:58","80866","98069","Tjek G+",,"2015-02-26 09:05:58","2015-02-26",NULL,NULL,"80866",NULL
"449105","Tjek G+",,"reopened","2015-02-26 09:05:58","80866","98069","Vol. fra Keyword Planner til Rankranger",,"2015-11-26 15:03:00",NULL,NULL,"2015-11-26 15:03:03","133451","133451"
"449138","Opstart ny kunde",,"reopened","2015-02-26 09:46:53","80866","139452","Søgeord",,"2015-02-26 09:46:53",NULL,NULL,"2015-03-06 09:26:42","80866","80866"
"449138","Opstart ny kunde",,"reopened","2015-02-26 09:46:53","80866","139452","Webanalyse",,"2015-02-26 09:46:53",NULL,NULL,"2015-03-30 06:31:10","80866","80866"
"449138","Opstart ny kunde",,"reopened","2015-02-26 09:46:53","80866","139452","Opstartsmøde",,"2015-02-26 09:46:53",NULL,NULL,"2015-04-08 14:12:03","80866","80866"
"449138","Opstart ny kunde",,"reopened","2015-02-26 09:46:53","80866","139452","Sidetitler og beskrivelser",,"2015-02-26 09:46:53",NULL,NULL,NULL,"80866",NULL
"449138","Opstart ny kunde",,"reopened","2015-02-26 09:46:53","80866","139452","Analytics",,"2015-02-26 09:46:53",NULL,NULL,"2015-03-10 15:05:22","80866","80866"
"449138","Opstart ny kunde",,"reopened","2015-02-26 09:46:53","80866","139452","Tjek G+",,"2015-03-25 15:36:46",NULL,NULL,NULL,"83600",NULL
"450946","Teknisk opsætning (ny kunde)",,"reopened","2015-02-27 10:05:00","80866","150632","Teknisk opsætning (ny kunde)",,"2015-02-27 10:05:14",NULL,NULL,NULL,"80866",NULL
"451271","Opstart ny kunde",,"reopened","2015-02-27 14:02:30","80866","136197","Søgeord",,"2015-02-27 14:02:30",NULL,NULL,"2015-02-27 14:02:51","80866","80866"
"451271","Opstart ny kunde",,"reopened","2015-02-27 14:02:30","80866","136197","Webanalyse",,"2015-02-27 14:02:30",NULL,NULL,"2015-02-27 14:03:56","80866","80866"
"451271","Opstart ny kunde",,"reopened","2015-02-27 14:02:30","80866","136197","Opstartsmøde",,"2015-02-27 14:02:30",NULL,NULL,"2015-02-27 14:03:59","80866","80866"
"451271","Opstart ny kunde",,"reopened","2015-02-27 14:02:30","80866","136197","Sidetitler og beskrivelser",,"2015-02-27 14:02:30",NULL,NULL,"2015-06-09 15:38:58","80866","83600"
"451271","Opstart ny kunde",,"reopened","2015-02-27 14:02:30","80866","136197","Analytics",,"2015-02-27 14:02:30",NULL,NULL,"2015-02-27 14:03:54","80866","80866"
"451271","Opstart ny kunde",,"reopened","2015-02-27 14:02:30","80866","136197","Tjek G+",,"2015-02-27 14:02:30",NULL,NULL,NULL,"80866",NULL
"451271","Opstart ny kunde",,"reopened","2015-02-27 14:02:30","80866","136197","Ændr overskrifter på siden så de indeholder søgeord",,"2015-02-27 14:02:30",NULL,NULL,NULL,"80866",NULL
"451271","Opstart ny kunde",,"reopened","2015-02-27 14:02:30","80866","136197","Teknisk gennemgang (når ny side er online)",,"2015-03-20 10:10:44","2015-03-20","2015-04-03","2015-05-27 09:27:32","83600","80866"
"451271","Opstart ny kunde",,"reopened","2015-02-27 14:02:30","80866","136197","Hastighedsoptimering",,"2015-07-08 06:23:25","2015-07-08","2015-08-05","2015-07-08 12:32:15","83600","83600"
"462403","Tjek G+",,"reopened","2015-03-09 16:01:46","83600","98081","Tjek G+",,"2015-03-09 16:03:45","2015-03-09",NULL,NULL,"83600",NULL
"462459","Tjek G+",,"reopened","2015-03-09 16:24:49","83600","98099","Tjek G+",,"2015-03-09 16:25:06","2015-03-09",NULL,NULL,"83600",NULL
"462481","Tjek G+",,"reopened","2015-03-09 16:35:41","83600","98071","Tjek G+",,"2015-03-09 16:35:47","2015-03-09",NULL,NULL,"83600",NULL
"466541","Teknisk opsætning (ny kunde)",,"reopened","2015-03-12 07:44:56","80866","153968","Teknisk opsætning jf. noter i notebooks (ny kunde)",,"2015-03-12 07:45:35","2015-03-12","2015-03-26","2016-02-23 12:07:22","80866","80866"
"466541","Teknisk opsætning (ny kunde)",,"reopened","2015-03-12 07:44:56","80866","153968","Lav side med covers i læder: ipad air cover læder, iphone 4 cover læder, iphone 5 cover læder",,"2015-04-15 14:35:07","2015-04-15","2015-04-29",NULL,"83600",NULL
"466541","Teknisk opsætning (ny kunde)",,"reopened","2015-03-12 07:44:56","80866","153968","Tjek at den ligger i webshopkataloger https://docs.google.com/a/greenclickmedia.dk/spreadsheets/d/15xPzYqAJI0bwyky8lxD3NzKVggjXH61vpdxqz27G_uA/edit#gid=0",,"2015-04-21 08:25:25","2015-10-14","2015-10-28",NULL,"80866",NULL
"466541","Teknisk opsætning (ny kunde)",,"reopened","2015-03-12 07:44:56","80866","153968","Tilret titles",,"2015-06-30 08:15:42","2015-06-30",NULL,"2015-08-13 11:54:29","80866","80866"
"466541","Teknisk opsætning (ny kunde)",,"reopened","2015-03-12 07:44:56","80866","153968","indsæt/ret titler på kategorisider + iphone 6 og ipad2 sider",,"2015-07-31 12:50:32",NULL,NULL,"2015-08-14 12:41:33","80866","80866"
"466541","Teknisk opsætning (ny kunde)",,"reopened","2015-03-12 07:44:56","80866","153968","Vol. fra Keyword Planner til Rankranger",,"2015-11-26 15:08:58",NULL,NULL,NULL,"133451",NULL
"467912","Opstart ny kunde",,"reopened","2015-03-13 12:32:32","80866","136153","Søgeord",,"2015-03-13 12:32:32",NULL,NULL,"2015-04-01 09:32:09","80866","80866"
"467912","Opstart ny kunde",,"reopened","2015-03-13 12:32:32","80866","136153","Webanalyse (skal være meget begrænset, så vi bruger tiden på optimering i stedet efter aftale med MSO) Skal de have yderligere analyse?",,"2015-03-13 12:32:32",NULL,NULL,"2015-05-20 09:21:22","80866","83600"
"467912","Opstart ny kunde",,"reopened","2015-03-13 12:32:32","80866","136153","Opstartsmøde",,"2015-03-13 12:32:32",NULL,NULL,"2015-04-01 09:00:28","80866","80866"
"467912","Opstart ny kunde",,"reopened","2015-03-13 12:32:32","80866","136153","Sidetitler og beskrivelser",,"2015-03-13 12:32:32","2015-05-29","2015-06-12","2015-10-14 07:48:44","80866","83600"
"467912","Opstart ny kunde",,"reopened","2015-03-13 12:32:32","80866","136153","Analytics",,"2015-03-13 12:32:32",NULL,NULL,"2015-04-30 11:20:57","80866","80866"
"467912","Opstart ny kunde",,"reopened","2015-03-13 12:32:32","80866","136153","Tjek G+",,"2015-03-13 12:32:32",NULL,NULL,"2015-03-27 13:03:59","80866","133451"
